,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-12-23,64.5199966430664,381.4541931152344,123.1500015258789,64.5199966430664,382.9100036621094,123.1500015258789,64.66000366210938,383.05999755859375,128.6199951171875,62.720001220703125,378.0299987792969,121.0199966430664,63.11000061035156,379.6499938964844,126.37000274658203,45923000,59857300,166989700
2022-12-27,63.27000045776367,379.9499206542969,109.0999984741211,63.27000045776367,381.3999938964844,109.0999984741211,64.27999877929688,383.1499938964844,119.66999816894531,62.970001220703125,379.6499938964844,108.76000213623047,63.869998931884766,382.7900085449219,117.5,36086000,51638200,208643400
2022-12-28,62.56999969482422,375.2279357910156,112.70999908447266,62.56999969482422,376.6600036621094,112.70999908447266,63.540000915527344,383.3900146484375,116.2699966430664,61.959999084472656,376.4200134277344,108.23999786376953,62.540000915527344,381.3299865722656,110.3499984741211,39526500,70911500,221070500
2022-12-29,64.81999969482422,381.982177734375,121.81999969482422,64.81999969482422,383.44000244140625,121.81999969482422,65.18000030517578,384.3500061035156,123.56999969482422,63.060001373291016,379.0799865722656,117.5,63.63999938964844,379.6300048828125,120.38999938964844,41428500,66970900,221923300
2022-12-30,64.7699966430664,380.9759826660156,123.18000030517578,64.7699966430664,382.42999267578125,123.18000030517578,64.81999969482422,382.5799865722656,124.4800033569336,63.13999938964844,378.42999267578125,119.75,63.77000045776367,380.6400146484375,119.94999694824219,37127000,84022200,157777300
2023-01-03,64.0199966430664,379.37213134765625,108.0999984741211,64.0199966430664,380.82000732421875,108.0999984741211,66.87999725341797,386.42999267578125,118.80000305175781,63.59000015258789,377.8299865722656,104.63999938964844,66.0,384.3699951171875,118.47000122070312,46851800,74850700,231402800
2023-01-04,64.66000366210938,382.30096435546875,113.63999938964844,64.66000366210938,383.760009765625,113.63999938964844,65.79000091552734,385.8800048828125,114.58999633789062,63.310001373291016,380.0,107.5199966430664,65.0,383.17999267578125,109.11000061035156,47477100,85934100,180389000
2023-01-05,62.33000183105469,377.9375915527344,110.33999633789062,62.33000183105469,379.3800048828125,110.33999633789062,64.3499984741211,381.8399963378906,111.75,62.29999923706055,378.760009765625,107.16000366210938,64.1500015258789,381.7200012207031,110.51000213623047,46159500,76970500,157986300
2023-01-06,63.959999084472656,386.6044921875,113.05999755859375,63.959999084472656,388.0799865722656,113.05999755859375,64.30000305175781,389.25,114.38999938964844,60.04999923706055,379.4100036621094,101.80999755859375,63.150001525878906,382.6099853515625,103.0,70161300,104189600,220911100
2023-01-09,67.23999786376953,386.3853454589844,119.7699966430664,67.23999786376953,387.8599853515625,119.7699966430664,69.31999969482422,393.70001220703125,123.5199966430664,65.66999816894531,387.6700134277344,117.11000061035156,66.22000122070312,390.3699951171875,118.95999908447266,69741300,73978100,190284000
